v_est_minus mean rank 1.8953309693288012
v_est_plus mean rank 1.8953309693288012
initialization 497.023895025
boundary 99 1.13054990768
fluxes 99 20.0465941429
rhs 99 57.8583471775
update 99 2.64909100533
reconstruction 100 0.00976490974426
boundary 100 1.17512392998
fluxes 100 20.1491379738
rhs 100 52.1268398762
update 100 2.8280351162
reconstruction 101 0.0100431442261
boundary 101 1.12429499626
fluxes 101 19.8148930073
rhs 101 56.0561258793
update 101 2.57267785072
reconstruction 102 0.00955080986023
boundary 102 1.10817217827
fluxes 102 19.588572979
rhs 102 54.5056049824
update 102 2.64064478874
reconstruction 103 0.00966477394104
boundary 103 1.13639807701
fluxes 103 20.1436171532
rhs 103 57.3656949997
update 103 2.59408903122
reconstruction 104 0.00948119163513
boundary 104 1.12158513069
fluxes 104 19.8742649555
rhs 104 62.9037761688
update 104 2.62129688263
reconstruction 105 0.0096390247345
boundary 105 1.13738083839
fluxes 105 20.1398661137
rhs 105 60.5358159542
update 105 2.63787794113
reconstruction 106 0.00967407226562
boundary 106 1.12835693359
fluxes 106 20.0923829079
rhs 106 62.4088640213
update 106 2.63222908974
reconstruction 107 0.00943994522095
boundary 107 1.1140859127
fluxes 107 19.945127964
rhs 107 57.36043787
update 107 2.69757986069
reconstruction 108 0.00962090492249
boundary 108 1.13341903687
fluxes 108 20.2761688232
rhs 108 56.8752739429
update 108 2.66222906113
reconstruction 109 0.00964498519897
boundary 109 0.979421854019
fluxes 109 20.1168501377
rhs 109 61.1772329807
update 109 2.65500593185
reconstruction 110 0.00980997085571
boundary 110 1.1286008358
fluxes 110 20.2624151707
rhs 110 61.4495229721
update 110 2.66375398636
reconstruction 111 0.00968194007874
boundary 111 1.15569996834
fluxes 111 20.3188080788
rhs 111 64.2332999706
update 111 2.66208600998
reconstruction 112 0.00974202156067
boundary 112 1.14536619186
fluxes 112 20.3534998894
rhs 112 60.0046768188
update 112 2.66084289551
reconstruction 113 0.00969982147217
boundary 113 1.13648605347
fluxes 113 20.471601963
rhs 113 57.4097249508
update 113 2.68985795975
reconstruction 114 0.00969505310059
boundary 114 0.996512174606
fluxes 114 20.5622010231
rhs 114 61.5238580704
update 114 2.68434596062
reconstruction 115 0.00967693328857
boundary 115 1.14115190506
fluxes 115 20.43542099
rhs 115 62.9252300262
update 115 2.7247068882
reconstruction 116 0.0096960067749
boundary 116 1.40724396706
fluxes 116 20.81031394
rhs 116 58.9975039959
update 116 2.72802186012
reconstruction 117 0.00970983505249
boundary 117 1.10889196396
fluxes 117 20.4659891129
rhs 117 65.4366490841
update 117 2.7145190239
reconstruction 118 0.00974416732788
boundary 118 1.16490912437
fluxes 118 20.4755380154
rhs 118 59.8220260143
update 118 2.72032999992
reconstruction 119 0.00971508026123
boundary 119 1.16596198082
fluxes 119 20.7448580265
rhs 119 63.0006790161
update 119 2.69801187515
reconstruction 120 0.00968194007874
boundary 120 1.14932489395
fluxes 120 20.6039741039
rhs 120 61.8103690147
update 120 2.74595093727
reconstruction 121 0.0097451210022
boundary 121 1.16410899162
fluxes 121 20.8360359669
rhs 121 60.8936522007
update 121 2.86184716225
reconstruction 122 0.00971293449402
boundary 122 1.43556880951
fluxes 122 20.6962931156
rhs 122 68.9617898464
update 122 2.74572491646
reconstruction 123 0.00970196723938
boundary 123 1.16475701332
fluxes 123 20.7472729683
rhs 123 68.4840068817
update 123 2.72233009338
reconstruction 124 0.00977492332458
boundary 124 1.42713093758
fluxes 124 20.7609279156
rhs 124 63.379019022
update 124 2.71018195152
reconstruction 125 0.00970911979675
boundary 125 1.15892219543
fluxes 125 20.7622089386
rhs 125 60.2689430714
update 125 2.71521282196
reconstruction 126 0.00965785980225
boundary 126 1.15631890297
fluxes 126 20.8345580101
rhs 126 63.0407760143
update 126 2.7297410965
reconstruction 127 0.00970196723938
boundary 127 1.15852093697
fluxes 127 20.7953388691
rhs 127 63.7387390137
update 127 2.72837305069
reconstruction 128 0.00975584983826
boundary 128 1.15583205223
fluxes 128 20.8944859505
rhs 128 61.223295927
update 128 2.73943114281
reconstruction 129 0.00968194007874
boundary 129 0.983625888824
fluxes 129 20.8726170063
rhs 129 57.2519190311
update 129 2.78760886192
reconstruction 130 0.00973320007324
boundary 130 1.27362108231
fluxes 130 21.0635168552
rhs 130 65.6345231533
update 130 2.79101490974
reconstruction 131 0.00974082946777
boundary 131 1.23118305206
fluxes 131 21.0024049282
rhs 131 66.9224801064
update 131 2.87503790855
reconstruction 132 0.00970983505249
boundary 132 1.26160001755
fluxes 132 21.4820230007
rhs 132 65.5875329971
update 132 2.75852108002
reconstruction 133 0.00971508026123
boundary 133 1.01605796814
fluxes 133 21.2053780556
rhs 133 65.6994111538
update 133 2.78161096573
reconstruction 134 0.00975298881531
boundary 134 1.23317408562
fluxes 134 21.1894030571
rhs 134 63.5636730194
update 134 2.78333806992
reconstruction 135 0.00970792770386
boundary 135 1.22824001312
fluxes 135 21.0471308231
rhs 135 65.6277649403
update 135 2.78952312469
reconstruction 136 0.00976085662842
boundary 136 1.25213003159
fluxes 136 20.9728848934
rhs 136 61.6633257866
update 136 2.79635095596
reconstruction 137 0.00973582267761
boundary 137 1.30298185349
fluxes 137 21.3852930069
rhs 137 60.022662878
update 137 2.78796195984
reconstruction 138 0.00972390174866
boundary 138 1.25808906555
fluxes 138 21.2327070236
rhs 138 63.129294157
update 138 2.79361009598
reconstruction 139 0.00970911979675
boundary 139 1.37720799446
fluxes 139 21.3409919739
rhs 139 59.8592429161
update 139 2.7882502079
reconstruction 140 0.00975799560547
boundary 140 1.26510715485
fluxes 140 21.3984920979
rhs 140 60.5631840229
update 140 2.76657485962
reconstruction 141 0.0096390247345
boundary 141 1.18000602722
fluxes 141 21.1894130707
rhs 141 63.8819589615
update 141 2.78920412064
reconstruction 142 0.00975394248962
boundary 142 1.06238698959
fluxes 142 21.3310160637
rhs 142 61.4843358994
update 142 2.78137779236
reconstruction 143 0.00974178314209
boundary 143 1.2533891201
fluxes 143 21.2414069176
rhs 143 66.6142511368
update 143 2.84701704979
reconstruction 144 0.00969314575195
boundary 144 1.26968502998
fluxes 144 21.4263529778
rhs 144 63.855702877
update 144 2.85458493233
reconstruction 145 0.0097861289978
boundary 145 1.3007080555
fluxes 145 21.605919838
rhs 145 65.466365099
update 145 2.84102487564
reconstruction 146 0.00975298881531
boundary 146 1.20618200302
fluxes 146 21.4925751686
rhs 146 66.6045770645
update 146 2.82846999168
reconstruction 147 0.00971603393555
boundary 147 1.40399909019
fluxes 147 21.6157369614
rhs 147 61.2035751343
update 147 2.84646511078
reconstruction 148 0.00974702835083
boundary 148 1.26604819298
fluxes 148 21.7301979065
rhs 148 64.8951370716
update 148 2.88088297844
reconstruction 149 0.00975608825684
boundary 149 1.27296710014
fluxes 149 21.8147220612
rhs 149 77.7150781155
update 149 3.64850902557
reconstruction 150 0.0106289386749
boundary 150 2.2525780201
fluxes 150 21.6931841373
rhs 150 77.5777170658
update 150 3.21537780762
reconstruction 151 0.0106570720673
boundary 151 1.3135740757
fluxes 151 31.8262419701
rhs 151 71.5927650928
update 151 2.88346886635
reconstruction 152 0.0104579925537
boundary 152 1.06357312202
fluxes 152 21.6561179161
rhs 152 67.1457490921
update 152 2.90077495575
reconstruction 153 0.00970888137817
boundary 153 1.52259612083
fluxes 153 22.2771549225
rhs 153 68.1069698334
update 153 2.8920071125
reconstruction 154 0.00975799560547
boundary 154 1.28117918968
fluxes 154 21.9153819084
rhs 154 68.2529919147
update 154 2.84845495224
reconstruction 155 0.00971412658691
boundary 155 1.38206195831
fluxes 155 21.791476965
rhs 155 67.6435191631
update 155 2.88222408295
reconstruction 156 0.00967407226562
boundary 156 1.28136491776
fluxes 156 22.1745619774
rhs 156 60.4305038452
update 156 2.84572696686
reconstruction 157 0.00972890853882
boundary 157 1.26858878136
fluxes 157 21.8532969952
rhs 157 64.1783649921
update 157 2.84122395515
reconstruction 158 0.00968813896179
boundary 158 1.26243209839
fluxes 158 21.7174808979
rhs 158 71.519671917
update 158 2.8496029377
reconstruction 159 0.00967812538147
boundary 159 1.26495909691
fluxes 159 21.814013958
rhs 159 66.6070249081
update 159 2.93735003471
reconstruction 160 0.00976300239563
boundary 160 1.3166270256
fluxes 160 21.8998510838
rhs 160 72.726213932
update 160 2.89977502823
reconstruction 161 0.00975489616394
boundary 161 1.2117638588
fluxes 161 21.8246731758
rhs 161 67.3795611858
update 161 3.28745985031
reconstruction 162 0.0106589794159
boundary 162 2.02526402473
fluxes 162 30.6452548504
rhs 162 67.3937129974
update 162 2.90793204308
reconstruction 163 0.00980186462402
boundary 163 1.29431986809
fluxes 163 21.6602079868
rhs 163 63.936191082
update 163 2.8894340992
reconstruction 164 0.0097348690033
boundary 164 1.37388801575
fluxes 164 21.6843190193
rhs 164 67.959841013
update 164 2.8896780014
reconstruction 165 0.00976085662842
boundary 165 1.34363389015
fluxes 165 21.7333641052
rhs 165 70.4504039288
update 165 2.90992593765
reconstruction 166 0.00974297523499
boundary 166 1.46381902695
fluxes 166 21.9161920547
rhs 166 69.7053580284
update 166 2.91760396957
reconstruction 167 0.00972390174866
boundary 167 1.41409087181
fluxes 167 21.8180267811
rhs 167 69.3284080029
update 167 2.92683386803
reconstruction 168 0.00970602035522
boundary 168 1.45094799995
fluxes 168 22.2957890034
rhs 168 68.0187151432
update 168 2.91438293457
reconstruction 169 0.00971698760986
boundary 169 1.32207489014
fluxes 169 21.939360857
rhs 169 72.2570178509
update 169 2.90636086464
reconstruction 170 0.00976610183716
boundary 170 1.40718317032
fluxes 170 22.038613081
rhs 170 72.8670740128
update 170 2.92642498016
reconstruction 171 0.00973296165466
boundary 171 1.07550692558
fluxes 171 22.0330300331
rhs 171 67.8091390133
update 171 3.02768611908
reconstruction 172 0.00974893569946
boundary 172 1.38744783401
fluxes 172 21.9405009747
rhs 172 71.7054648399
update 172 2.92884397507
reconstruction 173 0.00982618331909
boundary 173 1.34105110168
fluxes 173 21.9550430775
rhs 173 69.7045731544
update 173 2.92683887482
reconstruction 174 0.00971508026123
boundary 174 1.06021118164
fluxes 174 21.9275500774
rhs 174 68.6205420494
update 174 2.90632915497
reconstruction 175 0.00975203514099
boundary 175 1.33015799522
fluxes 175 21.6799161434
rhs 175 69.1136620045
update 175 2.9219481945
reconstruction 176 0.00976896286011
boundary 176 1.34246492386
fluxes 176 21.9460330009
rhs 176 72.4533119202
update 176 2.92558693886
reconstruction 177 0.00973415374756
boundary 177 1.42144298553
fluxes 177 22.0001420975
rhs 177 68.5289638042
update 177 2.9150159359
reconstruction 178 0.00982809066772
boundary 178 1.06580209732
fluxes 178 21.8487110138
rhs 178 68.806677103
update 178 2.95973610878
reconstruction 179 0.0097599029541
boundary 179 1.35306596756
fluxes 179 22.1708171368
rhs 179 70.8188560009
update 179 3.03903698921
reconstruction 180 0.00971412658691
boundary 180 1.32351016998
fluxes 180 21.9067049026
rhs 180 62.2408459187
update 180 2.93224596977
reconstruction 181 0.009761095047
boundary 181 1.33366990089
fluxes 181 21.9632871151
rhs 181 68.7561159134
update 181 2.96680116653
reconstruction 182 0.00977897644043
boundary 182 1.64757680893
fluxes 182 22.729031086
rhs 182 71.2558062077
update 182 2.94712305069
reconstruction 183 0.00981593132019
boundary 183 1.33117794991
fluxes 183 22.0998301506
rhs 183 65.6812899113
update 183 2.95599794388
reconstruction 184 0.00977802276611
boundary 184 1.3315038681
fluxes 184 22.0046751499
rhs 184 71.9728310108
update 184 2.96957802773
reconstruction 185 0.00978922843933
boundary 185 1.55642700195
fluxes 185 22.3802990913
rhs 185 80.3158071041
update 185 2.95932006836
reconstruction 186 0.00973582267761
boundary 186 1.3316590786
fluxes 186 22.3166379929
rhs 186 73.4767310619
update 186 2.99203777313
reconstruction 187 0.00979685783386
boundary 187 1.44122600555
fluxes 187 22.3068449497
rhs 187 73.9786911011
update 187 3.01504898071
reconstruction 188 0.00979900360107
boundary 188 1.35453176498
fluxes 188 22.4909989834
rhs 188 72.4069797993
update 188 3.0045170784
reconstruction 189 0.00974082946777
boundary 189 1.55127000809
fluxes 189 22.6561000347
rhs 189 64.4022779465
update 189 2.99378108978
reconstruction 190 0.00976705551147
boundary 190 1.40189099312
fluxes 190 22.7885758877
rhs 190 72.5895879269
update 190 3.11267399788
reconstruction 191 0.0097451210022
boundary 191 1.5458650589
fluxes 191 22.9398779869
rhs 191 75.0868179798
update 191 3.05153489113
reconstruction 192 0.00975680351257
boundary 192 1.35952401161
fluxes 192 22.9624221325
rhs 192 69.0798580647
update 192 3.03398418427
reconstruction 193 0.00978493690491
boundary 193 1.34546780586
fluxes 193 22.7485117912
rhs 193 75.3360979557
update 193 3.02154898643
reconstruction 194 0.00977396965027
boundary 194 1.3402929306
fluxes 194 22.6574759483
rhs 194 73.5895068645
update 194 3.06526303291
reconstruction 195 0.00975394248962
boundary 195 1.08339691162
fluxes 195 22.8071799278
rhs 195 69.2725880146
update 195 3.05587506294
reconstruction 196 0.00978589057922
boundary 196 1.41853094101
fluxes 196 22.809623003
rhs 196 75.0243220329
update 196 3.05692911148
reconstruction 197 0.00975489616394
boundary 197 1.34476494789
fluxes 197 22.7640030384
rhs 197 76.7870409489
update 197 3.04647111893
reconstruction 198 0.00973796844482
boundary 198 1.36370301247
fluxes 198 22.8780779839
rhs 198 74.4543111324
update 198 3.06296801567
reconstruction 199 0.00976991653442
boundary 199 1.363270998
fluxes 199 23.1558561325
rhs 199 75.7910468578
update 199 3.07367610931
reconstruction 200 0.00984787940979
boundary 200 1.23074293137
fluxes 200 22.9279620647
rhs 200 74.3536369801
update 200 3.2271399498
reconstruction 201 0.0100381374359
boundary 201 1.36057090759
fluxes 201 22.714868784
rhs 201 70.6513938904
update 201 3.05419492722
reconstruction 202 0.00998115539551
boundary 202 1.09140110016
fluxes 202 22.9003798962
rhs 202 79.0330998898
update 202 3.04586100578
reconstruction 203 0.00990200042725
boundary 203 1.43458604813
fluxes 203 22.707780838
rhs 203 70.5493991375
update 203 3.04948091507
reconstruction 204 0.00973796844482
boundary 204 1.59740900993
fluxes 204 22.6913769245
rhs 204 75.4299647808
update 204 3.3376159668
reconstruction 205 0.00995516777039
boundary 205 1.4306230545
fluxes 205 23.0861980915
rhs 205 73.8621470928
update 205 3.13832902908
reconstruction 206 0.00995016098022
boundary 206 1.36834001541
fluxes 206 23.061702013
rhs 206 76.7874588966
update 206 3.11949086189
reconstruction 207 0.00979709625244
boundary 207 1.37226486206
fluxes 207 23.1005620956
